time,cycles,label,branches,instructions,cache-reference,cache-misses,bus-cycles,branch-loads,iTLB-load-misse,dTLB-load-misse
0.010201879,26181697,densenet121,2925857,18089810,1593098,485799,242990,6542562,0,0
0.020406222,0,densenet121,0,18392807,2377237,569643,243903,3424036,19506,23236
0.030594223,27695398,densenet121,3582557,16526363,0,0,244525,4231830,15465,22558
0.040771815,27597948,densenet121,4100779,19214999,2479433,172139,238410,0,17326,26421
0.050954334,0,densenet121,4530011,23056897,2820878,270391,243889,4824005,0,0
0.06113271,30075901,densenet121,0,0,3004639,215438,241750,5045278,21027,29238
0.071304927,30365135,densenet121,5289164,24774867,2628398,0,0,5612505,25096,31070
0.081473048,31380967,densenet121,5277471,24856221,3060560,195407,242266,4682541,0,29429
0.091646327,0,densenet121,0,26520978,2579675,355393,239706,5367940,22427,0
0.101823919,33827426,densenet121,6900218,32057930,0,137983,241688,5526899,25491,34087
0.11195542,34008276,densenet121,5620691,26520966,3274173,265645,209131,0,29449,37912
0.122119994,0,densenet121,5432926,25094582,3095433,328518,243509,5346813,0,0
0.132277698,33622222,densenet121,0,0,2952797,287851,242043,5769013,27760,38854
0.142449482,34260871,densenet121,5864508,27364764,3027186,0,0,6420487,24156,33356
0.152614675,34154812,densenet121,5977302,27927994,3272737,211154,240978,5392263,0,43391
0.162778913,0,densenet121,0,24248715,3369032,208805,241111,5751887,24537,0
0.172941339,34366892,densenet121,5701546,26295495,0,201356,243595,5922956,24712,34468
0.183115061,34260266,densenet121,5754853,27065387,3395917,111914,0,0,21931,34672
0.193281205,34174684,densenet121,5978707,28925665,3099692,264476,241162,6053638,0,0
0.203445223,0,densenet121,0,0,3716314,175263,240902,5719141,24848,34974
0.21360694,34080205,densenet121,6024284,28396979,3271271,0,241441,5809223,25083,37018
0.223783321,34463341,densenet121,6025123,28102690,3255167,185102,243731,0,0,30743
0.233955463,0,densenet121,3539729,25153642,3263469,242662,241105,5576478,31671,0
0.244107515,34043861,densenet121,5501442,25913657,0,325159,241165,5838446,24994,35809
0.254273123,33964327,densenet121,6070010,28471019,2995197,234457,0,0,22983,34298
0.264441369,34153236,densenet121,5429893,26238471,3287980,292096,240820,5736394,0,0
0.274607751,0,densenet121,0,0,3247395,234079,240720,5776480,25471,33182
0.284770628,34388177,densenet121,5530908,25937950,2735422,0,243890,6063971,27300,36382
0.2949301,34112617,densenet121,5834103,27412525,3239980,225574,241161,0,0,34532
0.305103484,0,densenet121,5603486,27844035,2996729,275970,240634,5984063,35787,0
0.315273234,34151496,densenet121,0,0,0,136190,241518,5956720,24219,32404
0.325407785,34070562,densenet121,5424601,25416968,2882869,647770,0,7451127,26611,35935
0.335602493,33280383,densenet121,4661398,19352612,2447219,580283,243204,3292599,0,0
0.34581292,0,densenet121,0,12355184,2083235,586432,241413,3136051,11898,8556
0.356028071,24677852,densenet121,3118595,14442685,1541129,0,243031,2081514,11646,16799
0.36621,24305051,densenet121,2414146,11317123,1659733,466143,242954,0,0,26158
0.376403996,0,densenet121,2702838,12207644,1476107,502376,241582,2911375,16041,0
0.386631501,24397714,densenet121,0,0,0,449572,244774,2252009,10015,15844
0.396862862,24409446,densenet121,2894752,13565619,1678463,651967,0,2691409,20175,23194
0.407099329,24191223,densenet121,2359976,13887620,1430596,497994,239452,4140913,0,0
0.41725423,0,densenet121,0,15456009,1346872,489939,242495,1669679,16169,26730
0.427437571,23968718,densenet121,4077651,19664449,0,0,241602,2700496,15856,22720
0.437734927,24411902,densenet121,2875392,13318906,1547232,536974,245208,0,7144,17839
0.447903466,0,densenet121,2767317,14242968,1917751,446930,243286,2610532,5546,0
0.45811457,24073566,densenet121,0,0,0,386088,241000,2846839,13092,20043
0.468327644,23794246,densenet121,2206894,10312816,1746159,508178,0,4805568,11170,18929
0.478588655,23592341,densenet121,3447222,14391975,1661647,486931,233694,1691768,0,0
0.488785668,0,densenet121,0,10912807,1433541,484152,239998,2450776,13167,18360
0.499037807,24008744,densenet121,1987196,9348749,0,0,243239,2570303,13560,18046
0.509292831,23731902,densenet121,3390455,15904156,1924332,435737,236998,0,8115,20738
0.519536862,0,densenet121,3567153,14322395,1670690,588305,241484,2451846,0,0
0.529746539,23464113,densenet121,0,0,1707787,522477,239196,3119917,13155,17662
0.539916563,23922303,densenet121,3071881,14217298,1719651,82090,0,2664980,13273,17956
0.550126289,24006145,densenet121,2498996,11219168,1729417,523866,239601,1997622,0,0
0.560376339,0,densenet121,0,11286911,1628695,556030,236815,3138562,16912,25018
0.570589231,24376965,densenet121,2767896,13024122,0,0,245124,2527568,12819,18424
0.580789297,24152757,densenet121,3225483,15274200,1764633,501389,238824,0,17480,22065
0.590985407,0,densenet121,2043979,12508330,1588943,528427,244075,3570594,0,0
0.601175716,23925024,densenet121,0,0,1776050,501458,243803,2534491,15138,18331
0.611428476,24009353,densenet121,3411283,16041594,1599286,0,0,3377081,13624,18851
0.621679885,24439887,densenet121,2901915,12680459,1665559,574014,243745,2577838,0,12649
0.631902948,0,densenet121,0,15299848,1896850,471416,243206,3255303,13074,6842
0.642227639,24543393,densenet121,3914592,17956154,0,0,246954,2899095,12463,18748
0.652405479,24250852,densenet121,2483176,11633807,1684899,462947,238604,0,20720,22820
0.662587902,0,densenet121,3844742,15107164,1548482,540947,237324,2265652,0,0
0.672788226,24136198,densenet121,0,0,1461665,562045,243982,3149670,18378,24950
0.683016932,24190964,densenet121,2973712,14208672,1833220,0,0,4152702,13706,21002
0.693199592,24245823,densenet121,3331907,15420813,1934026,436272,243130,3173911,0,19059
0.703395184,0,densenet121,0,8089210,1563520,510406,244085,2982474,13402,0
0.713556639,23366623,densenet121,4222997,19389977,0,635803,234175,2523738,12054,17111
0.723769342,24406011,densenet121,3407795,15914498,2344688,151556,0,0,12383,25300
0.733946456,25016804,densenet121,4499910,19909479,2103086,450990,240273,3698495,0,0
0.74418479,24477356,densenet121,0,0,2410977,395510,243843,3945188,18116,24807
0.754479482,27124192,densenet121,4031545,18705113,2585346,0,0,3419566,14533,23929
0.764653431,28042262,densenet121,4646085,21922871,2730661,244133,240919,4549488,0,36770
0.774836416,0,densenet121,0,24749859,2913201,173198,243669,5233500,18126,0
0.785002058,30142511,densenet121,4197994,19749783,0,393647,241944,5055891,23284,32276
0.795176535,30654655,densenet121,5390487,25334996,2815993,218259,0,0,23084,31508
0.805366639,32241116,densenet121,5130000,25621728,3132179,195855,241448,5789011,0,0
0.815536599,0,densenet121,0,0,2818647,205281,243390,5971890,27353,34565
0.825696786,33912360,densenet121,5515124,25753541,3000788,0,240432,5691936,27839,37098
0.83586575,33992356,densenet121,5967490,27427189,3093007,342815,240592,0,0,36047
0.846033808,0,densenet121,3727363,24689393,3162711,261108,238366,5731530,21090,0
0.856204868,33924580,densenet121,5129880,23861272,0,257174,240777,5718466,27613,38605
0.866335963,34307994,densenet121,5973935,27784745,3020782,128300,0,0,25368,40165
0.876510266,33619591,densenet121,5498152,25529149,2967054,222644,238397,5386091,0,0
0.88667136,0,densenet121,0,0,2838849,228236,240022,5898146,27684,47251
0.896802469,33522407,densenet121,5621198,26138662,3908598,0,237917,5911664,24243,37356
0.906962815,33966802,densenet121,5659909,26633096,3255407,254015,240377,0,0,38744
0.917111705,0,densenet121,8036617,26721227,3245699,210697,238299,5581721,28049,0
0.927261096,34359134,densenet121,0,0,0,296696,243272,5955751,26494,38810
0.937439278,34231813,densenet121,5402668,25169215,3193334,361245,0,4078702,26127,36674
0.947657382,33948101,densenet121,4338898,19251357,2103990,616827,237981,3733449,0,0
0.957930026,0,densenet121,0,1729469,2251330,325770,244047,4454745,22189,28283
0.968065103,29930490,densenet121,5009609,23283254,3234772,0,240208,4695465,22549,31829
0.978237647,29821227,densenet121,5162224,24179530,2738482,276213,235968,0,0,32591
0.988419748,0,densenet121,4459069,22199202,3016586,209270,240526,5166926,31271,0
0.998587554,32363722,densenet121,0,0,0,223658,242561,5454990,22426,35587
1.008753671,32401769,densenet121,5579400,26096431,3159881,272965,0,5488646,22621,36232
1.018924032,33692315,densenet121,5701361,27313490,3221797,236882,241964,6095319,0,0
1.029097131,0,densenet121,0,33427588,3420968,244000,239035,5636239,23618,0
1.039267047,34437817,densenet121,0,0,0,345904,243771,5910143,26768,41333
1.049450531,34302006,densenet121,5619498,26184840,3519273,78286,0,4529446,24652,40049
1.059614522,33779224,densenet121,6073521,26875837,3149157,264568,238367,5175337,0,0
1.069790734,0,densenet121,0,21724378,3164477,244468,241062,6068242,23830,31752
1.079888377,33434664,densenet121,5746445,27147507,0,0,237130,5203339,27037,37940
1.090056508,34090839,densenet121,5915684,27782964,3284105,207985,240213,0,8861,39132
1.100220139,0,densenet121,5866582,27499958,3323722,200940,243315,5741966,29557,0
1.110390417,33690316,densenet121,0,0,0,344423,238572,5616861,26178,38320
1.120557222,34180687,densenet121,6069060,28439087,3153386,237342,0,6054833,23159,35204
1.130718601,33698996,densenet121,5598346,26927379,3158717,239103,237768,6095364,0,0
1.140881883,0,densenet121,0,24825395,3470588,227850,241116,5639163,23232,33476
1.151057566,34444647,densenet121,5387380,25119083,0,0,244255,5945805,24477,36596
1.161226802,33649425,densenet121,5591553,26216917,3155452,210355,237275,0,29550,35619
1.171394127,0,densenet121,5993183,27945881,3140320,253873,241024,6017075,0,0
1.181557862,33475235,densenet121,0,0,3913525,197279,237076,5585835,25294,35205
1.19172002,34112315,densenet121,5560572,26178996,3049400,0,0,5702062,28868,40042
1.201892148,34437413,densenet121,5642004,26362976,3267573,282721,243423,5762923,0,28734
1.21202124,0,densenet121,0,30906230,2838043,279441,235893,5472063,29987,31960
1.222182981,34167224,densenet121,0,0,0,0,242315,6034773,24327,36466
1.232342044,33354456,densenet121,5809902,27271310,2724352,177656,0,4824252,28034,37425
1.242515548,33991706,densenet121,5786545,26522142,3064420,178029,239779,5148508,0,0
1.25267976,0,densenet121,0,27334120,3138076,216581,243291,5807140,27883,41255
1.2628385,33427193,densenet121,5140420,23945965,0,0,236598,5719293,25627,36208
1.273009823,33940986,densenet121,5919857,27700665,2919221,203715,239163,0,20600,36247
1.283188372,0,densenet121,5217232,27048099,2932724,230012,237433,6079646,0,0
1.293348407,34118054,densenet121,0,0,3691826,181876,241753,5735142,26024,36749
1.303512524,34422424,densenet121,5587607,25249952,3416378,0,0,6493659,22296,38009
1.313678421,33433398,densenet121,5652930,25988278,3170728,278063,236752,4999687,0,43199
1.323858769,0,densenet121,0,28810500,2537918,379744,241554,5307069,20573,0
1.334025633,31654773,densenet121,4151368,20668262,0,168774,236960,5169397,24600,37274
1.344185651,32684746,densenet121,5582551,25961953,3147953,174145,236802,0,20052,37867
1.35435357,0,densenet121,5309827,26292295,3195174,272250,241678,5493753,0,0
1.36452339,0,densenet121,0,0,3005342,308561,211319,5112424,19032,19169
1.374688354,33833006,densenet121,5862917,27687374,0,0,240149,5559656,27181,40468
1.384850795,34179735,densenet121,5939236,27912971,3339287,208347,239094,0,16021,40882
1.395015501,0,densenet121,5642640,27233396,3328719,207441,243482,5897173,0,0
1.405184014,33604166,densenet121,0,0,3042482,268434,238474,5739784,26240,40542
1.415350905,33980023,densenet121,5718485,26903000,2907936,0,0,6707163,23239,36719
1.425516738,33716726,densenet121,5612771,27207328,3150581,233941,238042,6849576,0,48919
1.435682824,0,densenet121,0,23877123,3443024,221006,240889,5688257,23948,0
1.445847368,34399196,densenet121,7008995,32467109,0,214893,243549,5787807,25665,37611
1.456024036,33909864,densenet121,5646626,25834778,3220802,361253,224426,0,29651,39301
1.466198186,0,densenet121,6126877,28802731,3168259,275835,241467,5842893,0,0
1.476362763,33329134,densenet121,0,0,3483269,193400,239188,5833231,24449,38036
1.486526929,34102141,densenet121,6052348,28471354,3197153,0,0,5108985,27226,40747
1.496708614,34474071,densenet121,5997416,27697103,3297611,205208,243542,5367129,0,36323
1.506875913,0,densenet121,0,27568705,3372103,248487,239038,5690678,23770,0
1.517027371,34006178,densenet121,4902253,23096573,0,267732,240775,5716791,26099,39569
1.527192711,32370615,densenet121,5492414,25675253,2976284,0,0,0,24937,36063
1.537362809,33997080,densenet121,5735967,26565227,3168157,231219,240065,5190360,0,42940
1.547527505,0,densenet121,0,28785147,3284768,238354,238488,5884199,23441,0
1.557692165,34396626,densenet121,7018755,33057830,0,498584,243650,5765951,26092,38826
1.567868864,34194373,densenet121,5696560,26682261,3092676,95622,0,0,25447,36116
1.578042426,33213906,densenet121,5984120,27674592,2870745,210673,237170,5554953,0,0
1.588197506,33210054,densenet121,0,0,3128465,226624,239795,6023933,24381,34657
1.598361417,33599362,densenet121,6061746,28428555,2850965,0,0,5181440,26831,37427
1.608495947,33897995,densenet121,5862353,26611707,3154445,308232,239497,4502661,0,38905
1.618667885,0,densenet121,0,25782412,2984850,207835,243003,5673566,32210,0
1.628829747,33404977,densenet121,5210333,24535212,0,230148,236457,5711888,25485,38613
1.638993976,33940841,densenet121,5859918,27414236,2966751,232373,0,0,25302,38749
1.649164035,33643172,densenet121,5044375,25201978,3218201,266629,237402,5600242,0,0
1.659337079,0,densenet121,0,0,3048167,230391,242238,5827775,27441,38605
1.669503609,34405662,densenet121,5362792,24985263,3303319,0,243892,6090708,26534,39729
1.679674451,33465159,densenet121,5522651,25935529,3070133,270829,236865,0,0,35678
1.689846819,0,densenet121,4210758,28740136,3080590,217763,240575,6040269,20598,0
1.699986139,33351127,densenet121,4872576,23063575,0,196596,236913,5508589,26171,36248
1.710151577,33972708,densenet121,5788918,27225710,3172851,299680,0,0,28710,38433
1.720321553,34479517,densenet121,6086848,27234115,3194702,184701,243345,5515260,0,0
1.730468502,0,densenet121,0,0,2877579,292655,236871,5675044,26760,38096
1.740630224,34065554,densenet121,5933144,27542879,3867672,0,241753,6047421,23337,36660
1.750801193,33553547,densenet121,5749475,27032668,3107860,301671,237449,0,0,39095
1.76096763,0,densenet121,4743681,24172220,3249662,328304,241873,5794067,0,0
1.771139555,0,densenet121,0,0,3259742,313309,243793,4514652,14466,16018
1.781318569,33858107,densenet121,2300996,13603477,1017361,0,244231,2305470,4305,15341
1.791506426,33489000,densenet121,2240264,13220611,1034426,654050,243084,0,0,14945
1.80168878,0,densenet121,2268730,13239375,1019686,694477,243469,2021967,2183,0
1.811881894,28922048,densenet121,0,0,0,1289500,243318,4709396,319,55134
1.822066664,27340828,densenet121,4716457,15763840,1817011,1236817,0,4585284,363,55439
1.832274953,26433064,densenet121,5802273,20993422,2086889,1385975,242962,6517122,0,0
1.8424733,0,densenet121,0,0,1959492,1497034,244258,6016633,148,37301
1.852671072,24340527,densenet121,3340649,13061862,1396805,0,244723,5278693,110,23494
1.862867154,23494969,densenet121,1116435,3404555,1484855,1288154,241936,0,0,26822
1.873088891,0,densenet121,1184156,3698597,1300415,1068375,243711,733164,76,0
1.883300199,17282606,densenet121,0,0,0,707578,244223,228748,19,13886
1.893493685,18136869,densenet121,2863204,12965389,1856251,201912,0,1151511,9301,23293
1.903698463,13680443,densenet121,2416237,11802193,1308699,180557,160818,0,0,0
1.913910051,0,densenet121,1244261,14119899,2206237,331940,243922,4708195,713,0
1.924050824,25181685,densenet121,10225252,47343724,0,152383,242954,13269179,959,1879
1.934202513,27981862,densenet121,6454447,52372123,615067,89968,0,0,928,5024
1.94431643,29254403,densenet121,369286,52797739,349087,92328,241764,366896,0,0
1.954465335,0,densenet121,0,0,362331,94027,242986,377170,63,186
1.964599702,32763196,densenet121,412427,59586044,452955,0,241269,401268,97,243
1.974733613,34074488,densenet121,422916,61306810,405497,107512,242805,0,0,193
1.984866579,0,densenet121,429073,61674517,410887,107825,242832,425969,94,0
1.995003638,34330908,densenet121,0,0,0,328543,243148,6930209,11216,10972
2.005156851,34376196,densenet121,5954299,26050747,4471079,27742,0,5905357,22588,11427
2.015294271,34379614,densenet121,6001439,26279426,4432844,24130,242869,6017707,0,0
2.025426837,0,densenet121,0,25657931,4449320,15807,242743,6038848,21074,7920
2.035563596,34338952,densenet121,5466244,24471147,0,0,243334,5799558,21559,14858
2.045710953,34359272,densenet121,5439845,24362737,4066708,68025,242747,0,23866,21544
2.055860594,0,densenet121,5406349,24257781,4072949,75364,243214,5450233,0,0
2.06600348,34314338,densenet121,0,0,4118924,87751,243046,5466407,23820,23073
2.076151657,34358120,densenet121,5417739,24234767,4039659,257053,0,5328992,24300,23810
2.086320631,34486508,densenet121,5389171,23969860,3983717,103251,242242,5166563,0,0
2.096477412,0,densenet121,0,23971261,4014083,75301,242986,5357134,22847,23474
2.106630164,34378951,densenet121,5364872,24001676,0,0,243694,5393051,22472,22622
2.116783634,34384833,densenet121,5327977,23830674,3999379,83436,241948,0,23574,23301
2.126949424,0,densenet121,5241917,23604572,3982565,115442,243600,5299644,0,0
2.137105699,34288632,densenet121,0,0,3986123,138561,243400,5267854,22503,22988
2.147269186,34429976,densenet121,5260501,23795544,3921679,0,0,5266576,21926,22635
2.15743195,34412777,densenet121,5085787,23363879,3720327,204385,241927,5295904,0,24724
2.167594485,0,densenet121,0,24121945,4037800,95770,243543,5300165,23223,0
2.177745529,34362749,densenet121,5186488,23620743,0,61575,243314,5294066,23260,22565
2.187902842,34405451,densenet121,5265843,23814860,3969263,99122,84465,0,24593,23281
2.19806485,33720774,densenet121,5242897,23668377,3987832,111201,243317,5245192,0,0
2.208228515,33623754,densenet121,0,0,3909723,124952,243631,4908663,22191,30591
2.218383971,34397270,densenet121,5920673,28006301,4776198,0,0,5992818,38729,52562
2.228523709,34348501,densenet121,5852139,27777862,4718835,59772,242693,5881535,0,52884
2.238660704,0,densenet121,0,27972732,4790213,37116,242987,5982645,39783,0
2.248809814,34349892,densenet121,5614335,26887804,0,170079,243415,5483847,37281,51785
2.258959512,34381611,densenet121,5479419,26442604,4679082,277080,0,0,37528,53943
2.269110944,34423351,densenet121,4991330,28268767,2867704,661654,243096,7026133,0,0
2.279286666,0,densenet121,0,0,1770607,192189,243873,6788133,8054,27055
2.289463536,33516012,densenet121,6365376,29111214,1126458,0,244056,4842896,16050,31092
2.299663127,32401057,densenet121,6074340,26396030,1868190,1015490,243442,0,0,13382
2.309845119,0,densenet121,3385802,20295166,2899801,326568,243641,5142139,25784,0
2.320018957,30333006,densenet121,7368256,34536331,0,348237,243813,8777983,12303,20349
2.330262661,16780264,densenet121,4851606,23235550,939609,0,0,0,4652,7987
2.340578786,0,densenet121,0,0,0,0,0,0,0,0
2.35077887,11485454,densenet121,2639906,11577327,602684,173406,0,0,0,4728
2.361001934,17467991,densenet121,6314724,24547916,976540,291763,244978,4972418,0,0
2.371199746,0,densenet121,0,0,1539579,318596,243618,5368607,12905,38469
2.381387693,30397725,densenet121,11426185,53933120,1493477,0,244280,6746669,3336,10780
2.391521078,31747522,densenet121,11432534,53761528,1596950,196153,242916,0,0,1568
2.401699043,0,densenet121,2858527,27652385,2863707,262463,242387,5623000,27436,0
2.411877059,34468896,densenet121,0,0,0,75408,243481,5499026,28337,42588
2.422050461,34435505,densenet121,5486052,25524495,3480037,191176,0,2839817,28472,43080
2.432215218,34467177,densenet121,5495528,26098246,3582269,98596,243230,5550665,0,0
2.442374146,0,densenet121,0,0,3590400,79674,243458,5561242,28805,43572
2.452535138,34389165,densenet121,5518876,25938252,3753850,0,243909,5544552,29082,43243
2.462703479,34451515,densenet121,5587215,26261078,3561611,96665,243464,0,0,42074
2.472871466,0,densenet121,5371245,26204835,3571557,71456,242713,5574388,27521,0
2.483044235,34443259,densenet121,0,0,0,115885,243920,5522350,28924,43359
2.493215319,34417730,densenet121,5498203,25884667,3641977,35857,0,5980519,28048,43099
2.503396812,34526436,densenet121,5668885,26481770,3570854,82617,243821,5565311,0,0
2.513569774,0,densenet121,0,25288603,3559423,86872,243623,5570325,28725,43097
2.523742184,34447635,densenet121,5599621,26337792,0,0,244153,5546633,28813,42905
2.533909388,34417186,densenet121,5556662,26172915,3559174,78155,243080,0,16933,41826
2.544041718,0,densenet121,5232319,25532525,3541832,87573,242591,5570926,38086,0
2.554224986,34456444,densenet121,0,0,0,117181,244301,5448139,28180,42351
2.564403294,34343730,densenet121,5609144,26365818,3638106,48626,0,5144037,28253,43101
2.574563515,34456963,densenet121,5554631,26409886,3583258,89430,243326,5774177,0,0
2.584725086,0,densenet121,0,24329596,3562418,91666,243341,5552914,28749,41458
2.594892387,34425641,densenet121,5369365,25363546,0,0,244057,5531250,28617,43122
2.605059571,34427763,densenet121,5527274,25961527,3559492,97895,236232,0,29666,43351
2.615236703,0,densenet121,5492575,25826844,3566527,85411,243814,5572153,0,0
2.625408453,34357228,densenet121,0,0,3864771,95901,243683,5528160,28288,43033
2.635592614,34492563,densenet121,5511257,25926743,3626659,0,0,5549156,28786,43367
2.645762317,34430687,densenet121,5605261,26129156,3570862,88436,243475,5342404,0,43626
2.655938974,0,densenet121,0,25915488,3559269,85511,243602,5515116,29188,38165
2.666105295,34407554,densenet121,5537699,26041025,0,0,242154,5781367,26913,41025
2.676281585,34460338,densenet121,5564202,26189016,3590241,61649,239971,0,30747,43201
2.686442985,0,densenet121,5793332,26622433,3586799,79822,243502,5538130,0,0
2.696606688,34163835,densenet121,0,0,3586719,94113,243319,5575031,29127,43665
2.706764484,34405955,densenet121,5526916,26037111,3683133,0,0,5718799,28455,42913
2.716925643,34209682,densenet121,5547387,25926307,3561877,86791,243209,5189994,0,42514
2.727098122,0,densenet121,0,25919439,3474571,117126,243020,5508304,29674,0
2.737257965,34377267,densenet121,5537702,25752982,0,150517,243544,5515850,28699,42777
2.747420763,34422380,densenet121,5602825,26362297,3628322,66898,0,0,26892,43489
2.757591912,34477764,densenet121,5418581,25996785,3616296,85451,243544,5682841,0,0
2.767754809,0,densenet121,0,0,3442502,118965,243593,5585158,28821,44061
2.77792007,34415919,densenet121,5734983,26930998,3528124,0,243597,5308519,29320,43205
2.788048637,34303190,densenet121,5546176,26192098,3574579,65768,242245,6688453,0,43111
2.798216985,0,densenet121,0,25732450,3610613,88240,243711,5604039,26965,0
2.808375986,34367028,densenet121,5374897,25197904,0,169307,243535,5571467,28541,42749
2.81854365,34332395,densenet121,5570869,26165672,3547582,91947,0,0,29278,43623
2.828714314,34484630,densenet121,5440001,26138172,3590610,84425,243482,5590059,0,0
2.838884243,0,densenet121,0,0,3666251,81726,243686,5583262,28470,44174
2.849063022,34450525,densenet121,5509883,25931558,3699066,0,244292,5569775,28816,43087
2.859236478,34464258,densenet121,5544679,26048213,3583489,84977,243658,0,0,43063
2.869408406,0,densenet121,5597858,26299354,3559415,78756,243554,5572551,28860,0
2.879580462,34447337,densenet121,0,0,0,75822,243859,5532670,28810,43172
2.889759912,34412805,densenet121,5521325,25987173,3624261,43011,0,5507766,28152,43137
2.899933686,34503431,densenet121,5824761,26458869,3520701,139387,243501,5531429,0,0
2.910110581,0,densenet121,0,0,3454005,99794,243839,5536453,29791,46377
2.920282267,34408506,densenet121,5580555,26265755,3702562,0,244132,5496404,28768,43711
2.930469275,34511089,densenet121,5436598,25592956,3539076,82739,243853,0,0,42931
2.940643635,0,densenet121,5889589,23624284,3399645,156149,242803,5198052,27964,0
2.950814475,34434360,densenet121,0,0,0,121517,243836,5544481,29384,44623
2.960974621,34388496,densenet121,5559371,26123115,3624361,37779,0,5933370,27934,43192
2.971146537,34495185,densenet121,5626529,26368203,3589029,83494,243610,5560942,0,0
2.981305726,0,densenet121,0,27184283,3625887,90367,243294,5570882,29167,42839
2.991467988,34275509,densenet121,4988096,23507110,0,0,240978,5559057,28561,43286
3.001639533,34427807,densenet121,5390785,25292413,3568901,146766,243152,0,18451,42631
3.011813877,0,densenet121,11344547,49187198,2740865,79513,243836,9884809,0,0
3.021968827,34365551,densenet121,0,0,3018933,28050,243166,9947288,12582,6373
3.032110971,34341535,densenet121,9903911,46535548,2955577,18815,0,9760317,12447,7831
3.042253179,34397952,densenet121,9950779,47053082,2926457,22338,242955,10023232,0,0
3.052405407,0,densenet121,0,46797793,2910404,22697,242497,9927908,12077,6026
3.062550235,34357375,densenet121,9866865,46474248,0,0,243499,9925918,11822,6864
3.072695163,34364278,densenet121,9933521,46825448,2891293,21326,241836,0,12333,6835
3.082840624,0,densenet121,9969969,46862925,2906562,21925,243195,9943608,0,0
3.09298798,34274859,densenet121,0,0,2946614,23060,243219,9916683,11344,6396
3.103143968,34307211,densenet121,11966513,50397129,945568,0,0,9190371,6820,13308
3.113326356,34482327,densenet121,12426587,59712728,1285370,442930,243749,16707683,0,40152
3.123522656,0,densenet121,0,61216868,1251164,352585,244315,13184881,878,0
3.133696442,34385025,densenet121,8269711,36292277,0,543367,243925,10780785,1244,29344
3.143862436,33307364,densenet121,10613464,48981324,1285545,826532,0,0,1610,23494
3.154058881,32102243,densenet121,9520465,48104769,1679418,522100,242273,10365950,0,0
3.164236678,32977169,densenet121,0,0,831789,313004,242887,10522309,1566,5534
3.174405925,34112071,densenet121,14542505,63756364,980022,0,0,12003695,773,8440
3.184593237,34502150,densenet121,12729527,58311993,2141349,246201,243702,11467277,0,11423
3.194775362,0,densenet121,0,53788093,2007448,226639,243963,12103735,289,0
3.204964994,34461098,densenet121,11249811,60684701,0,302336,244247,10530713,1056,11844
3.21515554,34523127,densenet121,13072269,58023371,2078164,322586,0,0,1206,7567
3.225353789,34559068,densenet121,10056199,51009060,1624080,256394,244022,9862664,0,0
3.235541914,0,densenet121,0,0,1697656,383861,244144,11075662,1404,15834
3.245688792,34348888,densenet121,9183678,46723862,1471540,0,243117,10112752,1637,12880
3.25588458,33692841,densenet121,10944990,52231401,1967727,450134,244278,0,0,16796
3.266097042,0,densenet121,9251515,41126329,2297819,501325,244103,10281562,1693,0
3.276284926,33433455,densenet121,10038419,53147387,0,310635,243573,9683529,1171,9153
3.286475238,33220842,densenet121,10632423,46686548,1901363,429089,0,0,1428,12373
3.296662283,32502919,densenet121,9952968,51129247,1989820,240658,242686,13161728,0,0
3.306851042,0,densenet121,0,0,1565384,80610,243329,13334178,578,11070
3.317031295,34454573,densenet121,9759011,48216999,2094117,0,244267,10093402,2054,12633
3.327212343,34483115,densenet121,12237218,55931254,1306293,196361,243831,0,0,14099
3.337384204,0,densenet121,10588893,49510095,1068456,136913,243609,11491297,279,0
3.347558414,34473569,densenet121,0,0,0,152467,244009,11763984,611,10505
3.357736719,34165057,densenet121,10155239,41618872,2567980,661997,0,7261652,775,15057
3.367928517,32549501,densenet121,9655276,47962079,1982199,249574,243222,11005878,0,0
3.378107124,0,densenet121,0,0,1248091,202457,243638,10847116,1907,14851
3.388299209,34491697,densenet121,11077951,47239384,1035105,0,244622,14088224,603,7833
3.398483007,34490886,densenet121,11228046,49830011,2413014,277556,243681,0,0,29301
