time,cycles,label,branches,instructions,cache-reference,cache-misses,bus-cycles,branch-loads,iTLB-load-misse,dTLB-load-misse
0.010143392,29127852,densenet169,3709576,17300381,1426579,544417,244483,3183185,0,0
0.020340925,0,densenet169,0,0,1843744,520617,243926,5266318,14649,25068
0.030519906,32450682,densenet169,3823813,19157105,2170349,0,271626,2771348,11608,35544
0.040770841,29318745,densenet169,4136710,19577957,2311521,509667,243452,0,0,21322
0.050967458,0,densenet169,4440558,15749890,2137903,504108,240515,3457970,15075,0
0.061166763,29441511,densenet169,0,0,0,358329,244448,4851090,20542,32384
0.071376703,30262101,densenet169,5176454,24593886,3003889,177425,0,3903041,19812,30839
0.081557551,32422904,densenet169,5619531,25846865,3059404,300629,261231,4643740,4910,11110
0.091751504,0,densenet169,0,10076225,2906541,237260,243402,5579775,25199,30164
0.101940243,34474243,densenet169,5608636,26330997,3243145,0,242846,5872327,26621,36782
0.112118812,35985045,densenet169,6130034,28879929,3243993,375071,255761,2899195,5143,32187
0.122303648,30087950,densenet169,5124953,28807121,3291303,272122,247767,6105420,30065,14967
0.132484314,35344263,densenet169,0,0,0,161514,253971,5899346,25555,34541
0.142668285,34464008,densenet169,6051373,28270305,3312726,205759,0,5607610,27270,36146
0.152817294,34556726,densenet169,5255737,25729937,2983044,276911,247599,5579221,6708,14773
0.162999358,32397446,densenet169,0,30646298,3100290,318689,251918,5966487,25045,38462
0.173182446,34930201,densenet169,6226873,28897342,0,0,249193,5834915,24431,34980
0.183370661,35634839,densenet169,5634174,26644044,3245790,574254,253154,2979061,19739,37291
0.193558497,0,densenet169,4973451,24732221,3215807,342085,243970,5748188,9558,0
0.203745571,34684100,densenet169,0,0,1930387,444240,250527,5788086,25462,38629
0.213916784,35319222,densenet169,6142329,28175517,2993134,672561,0,6604712,22471,31276
0.224077345,34844725,densenet169,5852529,27481125,3437571,269149,248737,5528940,6940,15332
0.23426217,0,densenet169,0,33459858,3376961,216286,243884,5954572,23048,38608
0.244447865,34888303,densenet169,6901574,31992945,0,0,248202,5643767,25884,37397
0.254625166,35480894,densenet169,5842004,27566973,3477133,224631,251130,2979367,20024,35480
0.264812853,29538802,densenet169,5931141,29994631,3382424,246436,248548,6001571,6458,14708
0.274964371,34333446,densenet169,714088,3690425,3873806,175748,250006,5936414,23385,34907
0.285132923,34881246,densenet169,5874005,27699753,3176821,0,0,5729873,26756,37983
0.295293751,35135614,densenet169,6016210,28982791,3408756,221068,250422,6037033,6584,22916
0.305472971,0,densenet169,0,26055259,3159421,219754,244054,5751779,30324,0
0.315642538,34969410,densenet169,5361967,26314445,0,216904,248806,6116875,25393,37346
0.325808118,35250882,densenet169,6186827,29418858,3148793,321321,243469,3816333,20301,34972
0.335972813,31023658,densenet169,5297751,28387965,3434383,230631,250233,6477199,6017,13506
0.34614801,33634902,densenet169,4255402,54839963,3460501,193279,251200,5812889,26251,34823
0.356314998,34436120,densenet169,5707521,26694604,3144852,0,0,6525338,26623,36558
0.366490015,35186066,densenet169,5957797,27807340,3354225,358644,250655,4916667,5635,28814
0.37666429,31243765,densenet169,3896501,32272652,3204707,303262,250261,6041890,20318,12554
0.386842649,35255390,densenet169,6931807,35411715,0,238427,252109,5718436,26080,37814
0.397012394,35270185,densenet169,5819438,27898026,3448057,284267,0,3032379,28878,41536
0.407179187,34458238,densenet169,6181515,26508116,3341781,229573,243408,5385366,0,0
0.417345063,31807245,densenet169,3974597,53664527,3088045,326803,251825,5922719,27684,41082
0.427512505,35335378,densenet169,6111363,28790249,3661791,0,251228,6053620,22114,37082
0.437688755,36034352,densenet169,6258181,29352272,3436759,267277,256006,3075702,4913,35989
0.447862395,31466083,densenet169,798230,24789647,3546749,233698,252420,5871573,21974,12716
0.458026588,34369647,densenet169,6056804,28249960,0,235561,243653,6016720,25750,36579
0.468221868,35750877,densenet169,5846985,27710626,3684060,165820,0,3071080,20797,37637
0.478414751,34609007,densenet169,6169825,29337502,3273748,260430,250524,5800088,5751,12693
0.488598913,33203675,densenet169,2061184,45401183,3585727,277484,255855,6057843,24159,33915
0.498780438,35245059,densenet169,5879515,28386441,3480551,0,251176,5842974,25509,36898
0.508960096,36280366,densenet169,6243035,29539569,3480325,217713,257830,2889253,4533,31378
0.519149488,0,densenet169,5395977,27526671,3230671,342232,243938,5696933,23624,0
0.529336512,35193034,densenet169,2328779,50177654,0,310180,251753,5962584,25818,39357
0.539521653,38496303,densenet169,6363200,30797142,3388373,303240,0,3170576,22395,36818
0.549672103,34752253,densenet169,5692881,28537097,3468518,244195,249823,6130897,5723,13077
0.559828494,31345169,densenet169,4943298,76705405,3393007,238042,250957,5976856,24260,31684
0.569997724,34304261,densenet169,5223793,24592566,3321703,0,242857,5887128,27413,39335
0.58017886,35310560,densenet169,6088187,28806813,3399924,244224,250953,3223550,6004,35897
0.590361117,31577955,densenet169,5964168,29546264,3228714,257638,250832,6198543,19434,12183
0.600556948,35017184,densenet169,789106,4072373,0,202608,251744,6087425,26423,34957
0.610740257,35306064,densenet169,5994257,28329008,3249185,296580,0,4670201,30057,39645
0.620899273,34452812,densenet169,5577057,25688893,3176837,370658,243477,5368194,0,0
0.631118172,30999538,densenet169,4148346,32781361,2267663,640105,253533,3801834,14028,22810
0.641435551,30681977,densenet169,4822204,23662508,0,0,260398,3563879,18812,26529
0.651919655,26628776,densenet169,2242227,10471079,1462165,578475,249191,0,0,14692
0.662282609,0,densenet169,3727303,15778828,1520760,432457,246183,2329211,16223,0
0.672532703,24461248,densenet169,0,0,0,593137,243804,2768710,10649,15372
0.68279892,25935766,densenet169,2507852,12229129,1419059,609907,0,1952399,10494,13739
0.693045334,24527850,densenet169,3348550,14590531,2158377,434779,245306,2644925,0,0
0.70328966,22169514,densenet169,2827410,23523303,1706987,583761,254907,3472699,15507,18941
0.71351749,24415233,densenet169,1929980,9106302,0,0,245565,3332995,9762,16808
0.723723591,24348489,densenet169,3144744,14634636,1804866,423892,243424,0,27721,18387
0.733999065,24523345,densenet169,1335744,8977598,1446341,546582,268323,2583316,5253,8644
0.744299482,21935280,densenet169,0,0,0,478339,229690,1945961,13549,17540
0.75463983,23655413,densenet169,1213318,5648867,849081,436864,0,1095625,9172,13412
0.764948062,23604315,densenet169,1812336,8610420,893061,367079,253009,1439469,3019,6564
0.775331832,0,densenet169,0,4547888,1058873,416851,244544,1452491,8237,12179
0.785820967,23674117,densenet169,2096322,9520448,464663,0,247462,1404168,8771,14243
0.796236527,23125221,densenet169,1399101,6599763,1061651,384337,242198,0,0,24649
0.806544274,0,densenet169,1172436,7644456,1212582,463964,239559,2048940,17543,0
0.816814036,24720691,densenet169,1499310,30353077,0,371429,264913,2019802,8797,15436
0.827022279,22732938,densenet169,2177020,10087567,1336687,514462,0,3088987,9546,17043
