time,cycles,branches,instructions,cache-reference,cache-misses,bus-cycles,branch-loads,iTLB-load-misse,dTLB-load-misse
0.001237105,2956267,403604,1967268,178835,50722,0,0,0,0
0.002540624,3166415,102704,508604,75619,43991,0,0,0,0
0.003699543,2763715,194496,970314,150158,63798,26638,0,0,0
0.004865626,0,284965,1367655,176240,77494,27893,0,0,0
0.00607099,0,244950,1208466,167672,76384,29057,0,0,0
0.007282992,0,278827,1337212,204177,71018,29029,0,0,0
0.008513453,0,357608,1990679,125840,54135,29818,432448,0,0
0.009834459,0,0,1974341,128762,49608,31063,415270,0,0
0.011010204,0,0,4112378,154060,52450,28075,867972,0,0
0.012200341,0,0,3972195,198178,68553,28415,454179,0,0
0.013368925,0,0,0,210407,61159,27888,303325,0,0
0.014524086,0,0,0,121411,62148,27717,241262,0,0
0.015690437,0,0,0,267570,60869,42968,517320,1606,0
0.016906215,0,0,0,0,75230,40990,388128,1644,0
0.018140379,0,0,0,0,41402,31538,98012,121,0
0.01951294,0,0,0,0,37885,31048,97655,150,5020
0.020707965,0,0,0,0,0,28667,274079,792,2631
0.021941343,0,0,0,0,0,30266,112465,1652,1798
0.023204213,0,0,0,0,0,29692,160023,825,1397
0.024479558,3039472,0,0,0,0,30816,287390,1949,2539
0.02573296,2992533,0,0,0,0,0,307160,1708,2476
0.026942637,2894099,0,0,0,0,0,449518,1135,2190
0.028125822,2801921,231658,1114443,0,0,0,260318,1808,2221
0.029343391,2912720,390522,1837493,0,0,0,0,2283,2619
0.030505843,2782612,515230,2410819,0,0,0,0,765,2074
0.031715538,2862836,787679,3717407,189206,0,0,0,440,1793
0.032895824,2824905,463689,2017958,262664,0,0,0,0,2094
0.034033122,2724521,332363,1556747,196025,0,0,0,0,2570
0.035281772,3019993,309045,1449004,98813,0,0,0,0,1492
0.036571475,3004963,169476,809422,167877,76341,0,0,0,1352
0.037790988,2917798,272622,1289829,250801,70080,0,0,0,0
0.038992404,2881440,283407,1341475,232703,71158,0,0,0,0
