time,cycles,label,branches,instructions,cache-reference,cache-misses,bus-cycles,branch-loads,iTLB-load-misse,dTLB-load-misse
0.010175267,29153253,inception_v3,2811929,14729076,1193425,532692,242579,3480393,0,0
0.020339801,0,inception_v3,0,12336145,1875324,519626,259288,4965081,12830,20416
0.030522437,30763384,inception_v3,3781491,17884585,0,0,253118,3307477,13904,32321
0.040745754,29485576,inception_v3,3745515,17579145,1959540,689427,244719,0,1906,23661
0.051136618,0,inception_v3,3956192,16522867,2071451,500707,247222,3377198,5982,0
0.061504896,29856061,inception_v3,0,0,0,424062,246059,4464868,22317,31725
0.071698326,30057256,inception_v3,4750708,22443155,2957379,324037,218944,5601134,20651,29979
0.081889518,30518507,inception_v3,5387731,24069616,2854560,255481,244538,4357979,0,0
0.092099776,0,inception_v3,0,31813022,2982101,244292,242942,5305527,22459,27096
0.102293261,37630629,inception_v3,6155631,28917824,0,0,274462,5245204,25760,34270
0.112478233,34037483,inception_v3,6023505,28625730,3241561,259741,243063,0,29112,32664
0.122661065,0,inception_v3,5822653,28719160,3311697,260977,243987,6105245,0,0
0.132845399,36633514,inception_v3,0,0,3804269,236228,258076,6024014,25077,32395
0.143038173,34535046,inception_v3,6326004,30250711,3165192,0,0,5147968,28676,35205
0.153226768,35988210,inception_v3,5976987,28805264,3497134,277685,252351,6024236,5476,14123
0.163404168,0,inception_v3,0,26883773,3685294,344364,261976,5818248,20408,16416
0.173589096,34467890,inception_v3,5892506,27080894,0,0,244413,5613886,27458,36646
0.183775975,34486550,inception_v3,5360715,25299145,3215580,349485,240848,0,19782,33728
0.193968025,0,inception_v3,5371832,24829472,2858623,572113,246626,4839351,9847,17364
0.204161567,31262908,inception_v3,0,0,2047590,508042,242534,4750009,23096,27375
0.21435201,31459822,inception_v3,5132783,23883587,3125677,0,0,4951719,24193,32779
0.224548039,34044890,inception_v3,5768340,26341322,3170175,338149,257025,4103767,3862,20352
0.234751118,0,inception_v3,0,24639723,3017342,262238,245516,5594826,24048,17201
0.244934288,33894270,inception_v3,6638352,30746223,0,158734,252363,5292089,23922,32036
0.255107599,35223812,inception_v3,5681833,26673189,3355862,329512,250082,2761374,23579,34956
0.265278106,31397492,inception_v3,5496063,22910531,2979795,317578,243454,4655465,0,0
0.275464231,32190219,inception_v3,0,0,2982135,287130,246776,5567628,25776,35441
0.285652844,32911409,inception_v3,5535916,26074595,2893294,0,211111,5594793,23612,33097
0.295846204,32475076,inception_v3,5615178,26403571,3074777,264932,243759,4474085,0,25711
0.306040578,0,inception_v3,0,27808716,3223276,230435,244232,5690905,19458,0
0.316235381,36682180,inception_v3,6163472,28654533,0,578774,256831,5593720,24619,33424
0.326425893,35076377,inception_v3,5932118,27865140,3494773,193410,212232,3965926,20638,36756
0.336607821,36214483,inception_v3,6279146,29044824,3385955,349535,254065,5652112,5265,12095
0.346796065,0,inception_v3,0,0,3598663,342165,258588,5863786,24307,34524
0.356984642,34988418,inception_v3,5917403,27685765,3382766,0,233034,4217851,23169,35475
0.367103628,34263251,inception_v3,5738924,26799388,3333069,217159,242117,1229684,0,30971
0.377301277,88872878,inception_v3,2965160,67293470,7487561,1315077,636847,8129225,5480,11825
0.387482531,32726981,inception_v3,0,0,3745954,253827,247768,5867624,24545,34373
0.397671181,35973595,inception_v3,6071156,28367930,3441242,0,0,5000462,28669,37453
0.407853754,36978351,inception_v3,6331611,29434370,3540796,304973,263121,4065457,4037,22766
0.418039811,0,inception_v3,0,27316645,3341984,267940,244066,5737302,24273,0
0.428217928,41068876,inception_v3,5919081,27813330,0,220012,293596,6243021,26081,34601
0.438409814,37095908,inception_v3,6257175,29257500,3383391,358927,0,3037497,23495,33450
0.448596803,36621261,inception_v3,5843606,28375828,3587243,342346,265994,6022497,2846,6338
0.458777095,40845471,inception_v3,0,0,4257256,311257,299868,6034239,24712,26953
0.468951714,37004631,inception_v3,6414877,30080330,3730894,0,263490,5590521,26717,35797
0.479100038,34361022,inception_v3,5612038,25732273,3222255,329333,242780,748533,0,30603
0.489285397,35924415,inception_v3,4676993,29120229,3573910,369647,265327,5902447,19425,6192
0.499462472,37300666,inception_v3,5387039,25268674,0,349297,266613,5833100,26414,36701
0.509648087,38139346,inception_v3,6361445,29785910,3582910,339435,0,2973990,18873,33679
0.519844779,41332575,inception_v3,7273881,32366804,3771785,398838,299192,5265528,5149,12528
0.530027467,37980248,inception_v3,0,0,4229422,285456,281772,5958744,24178,29167
0.540209935,34457745,inception_v3,5808584,27087320,3625764,0,244253,5666493,27724,37886
0.550388475,39806072,inception_v3,6778177,31601107,3781618,406184,285274,3542636,5143,26812
0.560578957,36077880,inception_v3,5981323,31169573,3494166,371047,266825,6068920,23106,7812
0.570764864,41699723,inception_v3,0,0,0,258480,299431,6302999,25864,33853
0.580950877,44046911,inception_v3,7144373,33399884,3972391,574789,0,3934356,24352,38044
0.591106741,37048170,inception_v3,6043757,28767626,3682962,330679,265703,5497510,2937,6400
0.601287253,37996096,inception_v3,0,15991073,3833663,289647,284449,6206052,23117,21828
0.611516833,36241602,inception_v3,6444045,29719953,2830968,0,254303,5475332,27826,36736
