time,cycles,label,branches,instructions,cache-reference,cache-misses,bus-cycles,branch-loads,iTLB-load-misse,dTLB-load-misse
0.010327274,23171453,mobilenetv1,2831700,13240675,1082309,466166,246987,2331239,0,0
0.02069311,3137049,mobilenetv1,0,0,959941,511289,250728,3943023,4337,16912
0.030928196,27375267,mobilenetv1,1921921,10262686,797474,0,0,2624727,10944,27718
0.041200495,24516529,mobilenetv1,2808981,13102247,1457539,543059,243693,1728244,0,23500
0.051588445,0,mobilenetv1,0,19576627,1281848,562854,246739,3007272,17214,0
0.061821652,24382057,mobilenetv1,2348056,11232449,0,644893,244926,2841691,13765,18050
0.072043354,24343029,mobilenetv1,3101671,14550753,1934064,456122,0,0,8107,17047
0.082307097,24540131,mobilenetv1,2866624,13610601,1796787,502076,245719,2481103,0,0
0.092538352,0,mobilenetv1,0,0,1868890,535602,244273,3075877,11714,17100
0.102848419,24592771,mobilenetv1,2566463,12108123,2208293,0,245359,3073676,12285,19351
0.11306967,24406823,mobilenetv1,2958149,13837024,1869061,509395,243838,3116789,0,22786
0.123289574,0,mobilenetv1,0,16827312,1869288,485351,244442,3588550,13847,0
0.133504096,24336652,mobilenetv1,3838540,17967228,0,473822,244109,2728361,15710,21617
0.143717416,24369546,mobilenetv1,3219850,15319267,1674491,579549,0,0,13420,19446
0.153976492,24537236,mobilenetv1,2983089,14179184,1952569,494087,244569,3201834,0,0
0.164207608,0,mobilenetv1,0,0,2188105,402126,244206,3193681,11726,20900
0.174491203,24775743,mobilenetv1,3191926,15081427,2034225,0,248604,3552946,15427,21892
0.184919508,24901978,mobilenetv1,3217163,14927817,1691815,547745,246530,4836871,0,15850
0.195126867,20637352,mobilenetv1,2165199,16187759,1734798,534830,248363,3131423,18051,14952
0.205389796,24657829,mobilenetv1,3558643,16551291,0,670652,245226,3231518,15587,21884
0.215647125,24849728,mobilenetv1,3122369,14515231,1845239,473632,0,0,9195,18608
0.226004711,24746098,mobilenetv1,3530967,15464090,2054047,457362,245348,2811115,0,0
0.236191491,19572420,mobilenetv1,1866987,30703309,1736897,597026,256845,3224659,12799,7747
0.246383964,24495730,mobilenetv1,2335937,11049957,0,665391,243798,2933368,14144,21369
0.256651863,24413806,mobilenetv1,3431211,16116528,1852191,455570,36151,0,18186,19401
0.266900977,23744732,mobilenetv1,1862546,12334788,1553835,547675,244549,3048938,0,0
0.277120686,23709273,mobilenetv1,0,0,2293395,386471,244369,3303977,13639,14552
0.287343162,26485374,mobilenetv1,3368253,19912428,1710421,0,0,2357588,13173,19593
0.297529791,24351088,mobilenetv1,2442817,11728911,1792877,440542,242622,3096175,0,31595
0.307844143,0,mobilenetv1,0,15259143,1879135,535828,247999,3363627,12732,0
0.318240186,24705703,mobilenetv1,3309443,15544680,0,612487,246853,3109738,15359,23423
0.328457401,29697459,mobilenetv1,4427445,26826845,2343141,483192,0,0,17997,23278
0.338656523,27280555,mobilenetv1,4934071,22235976,2783770,199928,243071,4761583,0,0
0.34885222,28142466,mobilenetv1,0,0,2578101,302077,244190,4961639,22189,35620
0.359052297,40924185,mobilenetv1,5439527,42848524,2262154,0,0,6913581,22104,29433
0.369244771,30445777,mobilenetv1,5226079,24270325,3000660,180045,241968,4000031,0,31125
0.379425188,0,mobilenetv1,0,26767428,3252826,207506,243112,5419747,25551,0
0.389602132,44166547,mobilenetv1,4088317,54098541,768208,293856,318869,7348177,26207,35431
0.399789067,33251272,mobilenetv1,4936360,23332584,2430464,645668,0,0,22505,29659
0.409999702,30962602,mobilenetv1,4208993,22261898,2811337,489435,245696,5149629,10783,16304
0.420277496,39859002,mobilenetv1,3074614,52783598,2171658,874966,335245,5578986,15295,16571
0.430523504,29459925,mobilenetv1,3594623,17110094,1682515,0,245326,3662311,16734,23391
0.440724641,27950878,mobilenetv1,4017628,18700204,2494235,292651,242811,3022175,0,18006
0.450956718,37200693,mobilenetv1,2989752,39844058,2611203,822923,332409,5336077,12297,7911
0.461177674,28634080,mobilenetv1,4083832,18298420,0,448029,244295,3807763,17182,26530
0.471417668,27903906,mobilenetv1,3919567,18428386,2096103,415428,0,0,13932,22137
0.481658403,27556877,mobilenetv1,2760607,13669971,1946292,515889,242368,3058429,0,0
0.491885483,37599565,mobilenetv1,3021494,47525091,2015999,868456,356941,5445579,14493,14719
0.502165791,25536295,mobilenetv1,3386859,15714989,2090493,0,246502,2591679,16716,23479
0.512400535,26454757,mobilenetv1,3500874,16507566,1941317,543541,243544,0,0,24739
0.522637029,0,mobilenetv1,1911398,15409828,1956405,462462,244244,3445840,19929,0
0.532838475,24065764,mobilenetv1,1053203,21986284,452046,450411,252808,3020793,12043,17550
0.54315922,49191375,mobilenetv1,4512107,45385125,2423480,0,0,0,9076,20892
0.553368384,24358964,mobilenetv1,3823540,17934945,2227429,276821,242502,4264558,0,30819
0.563581016,0,mobilenetv1,0,18385720,2544531,281041,243002,4250763,23279,0
0.574282633,80838476,mobilenetv1,5628764,91034457,1167149,213035,676108,12896738,23306,23193
0.584506896,29617416,mobilenetv1,4624382,21644376,2971002,0,0,3999202,18758,28783
0.594674963,45119446,mobilenetv1,5679650,51242028,2700849,697103,382810,6641375,2026,4267
0.604926036,66578718,mobilenetv1,4106643,51455945,3277817,833378,549867,9293055,3990,9241
0.615123944,0,mobilenetv1,0,0,2894211,255424,244384,7404015,9081,12996
0.625312297,30755922,mobilenetv1,5305913,23186501,3888875,0,244427,5452787,27469,9498
0.635491281,32753207,mobilenetv1,5192415,23148261,3830369,69995,242520,0,0,12822
0.645674914,0,mobilenetv1,5385247,24605688,4052743,83621,243941,5470230,27845,0
0.655847484,34443409,mobilenetv1,0,0,0,219263,243901,5311291,28460,20118
0.666075504,34625830,mobilenetv1,4972072,22583246,3695641,1326051,0,3929425,27396,19564
0.676266895,34554398,mobilenetv1,4923385,24993522,4033039,366858,243951,5701588,0,0
0.686453513,0,mobilenetv1,0,26899833,4720658,464213,244029,5128108,18732,29546
0.69666418,34579258,mobilenetv1,5660916,49837732,0,0,245223,6923887,7746,13332
