time,cycles,branches,instructions,cache-reference,cache-misses,bus-cycles,branch-loads,iTLB-load-misse,dTLB-load-misse
0.010201123,29475112,3770560,13098213,1148543,527273,241901,1826043,0,0
0.020480793,0,0,0,857539,541317,249168,4462543,4383,17449
0.030633494,27985056,2136889,11506346,796861,0,279502,2068805,7954,22833
0.040872205,24455065,2532348,11987168,1425540,472266,244554,2208145,0,40870
0.051135694,0,1938984,15418835,1134866,445653,245135,2718440,12572,0
0.061445974,24404813,565735,2598490,0,666578,249253,2102510,14141,18523
0.071883613,24892602,3323273,15590837,1900894,584005,0,0,7965,17160
0.082158971,10602544,668996,3194138,623650,200069,104695,0,0,0
0.092369894,0,0,0,0,0,0,0,0,0
0.102715373,0,468703,2399685,309210,116536,105332,583528,0,0
0.113075381,0,0,12064792,782152,131781,246447,1710166,12102,10936
0.123357503,18960724,3564051,16565747,0,0,245152,2352513,12746,18510
0.133564373,25187709,4444912,20821001,2608748,188648,241817,0,5596,22686
0.14379786,0,4908364,23096377,2946611,218834,244853,5170828,0,0
0.153982359,31300538,0,0,3207840,224919,243614,5060348,22197,32212
0.164168791,31954472,5356249,25147263,3693496,0,0,5887612,20266,32357
0.174348639,33430462,5961782,27461663,3246205,256182,242600,5377009,0,34237
0.184542144,29012441,3987476,27509755,3397332,266950,247446,6019825,21616,20810
0.194726569,34464594,5316238,24825869,0,229366,244027,5912229,24811,35647
0.204917214,34500622,5932975,27703944,3420179,185995,202862,0,22574,36978
0.215099065,30873920,5682808,28144346,3405845,260210,250051,5640436,7165,17445
0.225290548,33987477,0,0,3050466,282112,244168,5866283,27158,40888
0.235473055,36576701,5572946,30759951,3850569,0,0,7005820,20567,34669
0.245662235,34506424,6016067,27232909,3298784,274854,243711,4592330,0,37777
0.255847222,0,0,28282096,3445220,234814,244055,5968319,20738,0
0.26604069,37662424,4718910,49152101,0,756604,269065,5890795,25001,36733
0.27622887,34499016,5846912,27480749,3486748,151532,0,0,21401,33761
0.286412096,45384594,6083693,44679137,4285655,460333,329244,7302456,4698,10442
0.296598796,0,0,0,3562449,232998,244082,5991022,22641,34189
0.306780159,44482809,5876079,45962632,938062,0,320086,6886149,32182,37385
0.316979594,34530022,6050611,28393091,3424187,217719,227715,0,17903,37360
0.327165316,0,6040993,25308129,3239158,290747,244028,5130357,0,0
0.33735255,44050927,3639574,59722496,1808566,510435,321485,7535502,34726,32757
0.347537401,34486924,5544942,26262109,3409497,0,0,6709839,22212,35146
0.3577196,44921537,6409610,42775547,3190634,452156,321108,7541315,0,19542
0.367910265,0,0,24362664,3396972,239795,244155,5736398,28427,0
0.378123633,43090456,3608898,56864020,593844,382665,309819,7773899,30931,36172
0.388325151,36355809,5700470,26965752,3451946,223228,0,0,22851,37541
0.398511957,34521481,6007592,28978999,3187200,325282,243810,6169981,0,0
0.408709658,59079998,4520746,71056826,2093897,575297,425707,9445843,40144,10970
0.418903187,34493866,6274656,31400414,0,476310,244065,5746747,24994,37394
0.429087203,34477053,5678043,26407805,3337496,198310,235918,0,28330,37941
0.439250913,85872881,7435798,86708273,3145507,856970,611794,12544162,0,9180
0.449767744,60425005,4804622,104369230,2549327,338233,439668,9472551,37623,0
0.459982092,58946415,2923099,17570480,1264127,765019,413496,6890854,45749,62209
0.470253521,21968448,6174649,28671052,1051405,0,0,3118500,9499,13353
0.480536007,0,0,0,0,0,0,0,0,0
0.490710769,7377151,1478118,6955795,426975,125711,0,0,0,5978
0.500921299,3498297,337449,1515811,309818,115498,28014,0,0,0
0.511219463,0,69661,304515,83988,52389,11207,0,0,0
0.521488724,0,715595,3140604,555763,117021,76051,653169,0,0
0.531828986,0,0,532629,300429,58025,75816,377153,0,0
0.542171581,6666108,0,0,796407,19862,178805,928055,4807,3731
0.552573092,310658,0,0,0,0,0,32709,147,132
0.562990177,3019210,0,0,0,0,0,385644,2248,1705
0.573388967,4875195,724466,3194584,0,0,0,562191,2858,1569
0.583840092,0,0,0,0,0,0,0,0,0
0.594169057,6409794,901479,3999156,753362,12462,167814,0,4474,2511
0.604585419,0,52904,233578,66854,43349,17214,0,0,0
0.614948755,0,419581,3063257,566873,120418,151245,722570,0,0
0.62531606,9886977,0,0,961114,20140,246664,1461975,5906,4081
0.635604464,12085155,2042055,9159175,1675469,0,0,1602975,6926,5665
0.645843676,18115162,3250476,14734829,2374791,38443,243662,3588234,0,9060
0.656135243,0,0,16345828,2640160,92848,203727,3791862,15765,0
0.66646352,0,0,0,0,20548,6338,85319,3,0
0.676715249,0,0,0,0,109251,39260,258755,1621,0
0.687057005,8898947,0,0,0,29759,142902,1423705,5557,4918
0.697399135,10860888,1701829,7765847,1147442,0,0,957485,7144,5678
0.70765676,8533455,1251256,5613625,882353,20781,0,0,0,4833
0.717927084,6070813,826136,4023205,583372,157015,95817,934462,0,0
0.728207223,0,0,5119114,773494,71351,114791,1137327,0,0
0.738473084,0,0,0,1256021,189183,172218,1628418,6577,4803
0.748808167,0,0,0,0,0,9980,138225,3,101
0.759064208,6230057,0,0,0,0,100140,824498,3725,3471
0.769411403,5747446,829368,4050503,0,0,0,916105,2742,2354
0.779759858,1109024,188494,1011447,0,0,0,0,6,189
0.790123059,786732,71285,382945,0,0,0,0,0,146
0.800532019,0,0,0,0,0,0,0,0,0
0.810844482,4255361,505377,2578416,356679,110989,0,0,3,2162
0.821247597,4832655,775665,3789118,439425,67308,126872,0,0,0
0.83175186,0,209061,1169573,59213,50039,27565,0,0,0
0.842167779,0,209457,1175065,74254,61552,39228,0,0,0
0.852507173,0,174552,983970,76643,60155,36482,0,0,0
