time,cycles,label,branches,instructions,cache-reference,cache-misses,bus-cycles,branch-loads,iTLB-load-misse,dTLB-load-misse
0.01022891,15325040,vgg16,2198857,10777012,1029058,477088,244080,2389140,0,0
0.020480507,23826510,vgg16,0,0,931791,513843,249267,2166422,5787,12218
0.030662564,25549376,vgg16,2339615,12057213,974333,0,0,5810596,9592,21827
0.040904413,25960864,vgg16,1741064,8830634,1005534,524307,266135,2517551,0,14540
0.051202599,0,vgg16,0,14918074,1612045,510609,247342,2174553,12820,0
0.061529457,26237582,vgg16,3056378,21878344,524184,383059,267420,3399493,16919,21554
0.071842354,26977031,vgg16,3040758,17808847,1663689,570711,0,0,9580,16642
0.082296666,24693023,vgg16,2532928,14528930,1758362,444328,246111,3279130,0,28144
0.092583169,29903627,vgg16,2677999,39418030,976217,574872,314250,3789240,21502,20804
0.102868332,37176576,vgg16,3315997,34197904,1374036,183683,0,5831440,23833,24323
0.113112834,51355605,vgg16,4839553,50066126,1790616,751878,512236,1114468,0,13799
0.124302531,44850859,vgg16,3406322,58760780,1565931,750019,451994,5609644,22630,3819
0.134552042,34756718,vgg16,2211902,14096796,1073387,583865,351328,3875663,24139,25453
0.144863209,84915540,vgg16,7113975,90570942,1204341,602731,852981,5955612,44228,59588
0.155129902,24475594,vgg16,2714672,12617715,1572812,469619,240967,0,0,14861
0.166682479,0,vgg16,12282126,197321764,1890723,1181036,1590326,8669057,27613,0
0.177530103,0,vgg16,0,25418080,1362298,462803,244532,2819622,13461,15253
0.187745571,93163618,vgg16,0,0,557354,279823,954195,7269804,9815,32255
0.198072701,86903750,vgg16,4040471,21754475,2602675,802355,861315,3542907,11811,20877
0.208321472,24451097,vgg16,3306769,15057109,1538302,423189,232324,0,15511,17551
0.218601952,109898560,vgg16,7562330,127205129,2215382,927994,1068946,8004078,4780,8422
0.229160873,65485506,vgg16,3436578,22462213,2578621,1228128,584672,4265644,5519,11032
0.239601447,83901060,vgg16,6487905,153464784,1020201,898229,798180,8118344,9273,2576
0.249913062,74525093,vgg16,3505544,22232968,1518446,1061728,682351,4305807,33305,22425
0.260098649,65959410,vgg16,5195496,108857385,358482,178986,633745,7187580,35466,45757
0.270353954,99597486,vgg16,6311122,91067369,1544213,957260,916716,6159098,24504,56157
0.280639458,25989559,vgg16,2900002,13436633,1579684,524238,239696,0,18796,21207
0.292817133,97913641,vgg16,7868259,122165323,1984243,771935,913182,7997460,3108,4072
0.303144624,137206318,vgg16,10949306,230039987,703053,353443,1184588,10822674,4244,5773
0.313653224,168336458,vgg16,12376310,262224093,845674,416191,1394172,12433069,4698,5230
0.324293021,171770081,vgg16,13011569,275333561,875763,423249,1391730,13007760,4849,5311
0.334546629,170906662,vgg16,12647355,282975959,848038,438023,1324446,13441032,4668,5317
0.34486995,174356185,vgg16,12783420,270750879,825232,410981,1358199,12891760,4729,5444
0.355409824,173664487,vgg16,12962879,275238137,785284,409523,1347295,13731531,4882,5694
0.365709089,186009923,vgg16,13118637,277536951,819232,437649,1500759,12650320,4832,5908
0.375972432,209722928,vgg16,16008415,340891608,1011469,502420,1633892,15764535,6134,8113
0.386398552,198304404,vgg16,14663108,309790248,952032,490210,1537074,14472968,5439,6424
0.39664113,201966782,vgg16,13872521,297248210,895433,486632,1575205,14884591,5490,5866
0.406870371,207715815,vgg16,15946210,338102704,1023472,505492,1623962,15915435,6219,6476
0.417389036,239929231,vgg16,15333980,338149744,1028760,528031,1844262,16302358,6094,6933
0.427923716,247621085,vgg16,18577429,393477888,1174221,598547,1922694,18766596,7190,7378
0.438379992,227212940,vgg16,16564886,352656263,1026346,519976,1763388,16596689,6454,7326
0.449068889,246585757,vgg16,18274663,384086669,1138874,589560,1900601,17474743,6673,7228
0.459641348,237850176,vgg16,16612799,367641815,1109497,555251,1826248,17349895,6418,6468
0.469890548,221199619,vgg16,16889477,357205619,1057498,548015,1720772,16403985,6389,7133
0.480202007,177470417,vgg16,14852897,315463323,942801,533572,1348115,16941905,5259,5353
0.490540264,125630756,vgg16,10314702,200649385,1168393,706437,903930,9206681,6533,12339
0.509908159,341846266,vgg16,13010129,80364061,5359541,3298178,2734025,13321864,21144,43337
0.520388253,175631715,vgg16,7661359,46540964,2968317,1839461,1645654,6992985,12265,25014
0.531189188,179139426,vgg16,7852700,46945772,3163277,1989507,1792579,7511436,12143,23780
0.541898245,173122005,vgg16,6921530,42629001,2996989,1867789,1759435,7089905,11712,22414
0.552844207,173543882,vgg16,6597909,41083765,2964989,1936179,1729863,8177058,11405,20935
0.564972505,204072759,vgg16,7950138,49301972,3302849,2116059,2027404,8270394,13900,26219
0.575416626,158472258,vgg16,7856806,47747767,3543985,2006184,1588501,7836402,12272,24276
0.585859966,135269971,vgg16,6424718,40251803,2699881,1576733,1341505,5914300,9335,19103
0.596334522,147044264,vgg16,6813772,40908000,2877536,1713309,1496961,6251242,11073,23206
0.610061535,211511362,vgg16,10462409,64782334,4419287,2544675,2125809,10192945,17139,33626
0.620712839,171482018,vgg16,7983002,48169521,3301779,1975676,1717880,8119730,13497,26611
0.634177762,216997686,vgg16,9225310,57353895,3918755,2432803,2158723,9693823,15789,31099
0.64700598,215270424,vgg16,7750784,48147289,3288077,2210796,2173861,8222408,13352,25489
0.657974741,188214404,vgg16,8121583,49883820,3468953,2108537,1890286,8636364,13453,26550
0.668661044,168133650,vgg16,7367736,44706530,3045093,1853620,1675443,7308818,13218,25693
0.681174846,153562452,vgg16,7047736,42481039,3011824,1852260,1525576,7775389,11846,24319
0.691521641,35854260,vgg16,3638222,66879938,786793,470114,353534,7740794,4541,9125
0.701740939,24330583,vgg16,0,0,494934,289321,244336,7933911,122,768
0.712011908,25981850,vgg16,7924374,54782957,559247,850,0,8483772,31,520
0.722476815,25977429,vgg16,6330899,37413986,1146225,441628,246210,3652206,0,0
0.732898583,124515058,vgg16,9127035,187362562,1906420,593978,1123578,10199729,3882,6782
0.743411688,224681229,vgg16,16394988,350109205,984098,557977,1888061,16464770,6606,8267
0.753651446,223925381,vgg16,16408153,343004051,1030133,541292,1810483,16085512,6259,7175
0.763931675,183285785,vgg16,11207153,143050924,2736960,1727152,1469079,9748882,15896,20538
0.774477108,219780645,vgg16,10153217,61522677,4139115,2480998,1819483,9572636,17205,33287
0.784902883,156042367,vgg16,7001649,43078178,2938075,1774879,1299014,11583341,11543,22337
0.795091565,77329839,vgg16,5946947,129169418,354938,436185,648435,8830201,24442,38112
0.805396604,209186862,vgg16,12169455,182207884,2610528,1496502,1736012,12047457,17065,28902
0.81571561,30697743,vgg16,5120855,28038707,1869817,394521,0,5353431,18926,22478
0.825905425,29408159,vgg16,364184,53028136,365448,96738,243851,376227,0,623
0.836070086,0,vgg16,0,53049551,358422,95904,243528,365357,120,0
0.846231883,29356935,vgg16,361217,53084540,0,12615,243622,362574,141,174
0.856385266,29339097,vgg16,366447,53021455,361445,94687,239145,0,140,174
0.866539559,0,vgg16,369906,56487424,373663,100289,242023,403751,0,0
0.876683304,34182040,vgg16,0,0,375791,101934,242778,409689,271,201
0.886832218,34398113,vgg16,414385,60147497,394397,0,0,405464,277,198
0.896982731,34394291,vgg16,412198,60067875,387765,102604,243073,417172,0,190
0.907130473,0,vgg16,0,60178554,385436,102710,243315,413073,245,0
0.917272593,34353267,vgg16,424790,59745879,0,101016,243245,413199,270,197
0.927432537,34433974,vgg16,414418,60243191,380375,104989,0,0,275,194
0.937579542,34407394,vgg16,420800,61378240,403981,108144,242268,424861,0,0
0.947723188,0,vgg16,0,0,426830,107841,243206,423270,285,202
0.957866385,34345119,vgg16,423803,61724870,413815,0,241356,429863,261,211
0.96802075,34414727,vgg16,423921,61986666,402858,107290,243448,0,0,198
0.978143142,0,vgg16,535131,61661309,408660,108140,242693,422781,283,0
0.988278183,34312105,vgg16,333371,59690695,0,118142,243196,424331,201,208
0.998441018,34438217,vgg16,422273,61627578,403123,117417,0,0,186,196
1.008603582,34460784,vgg16,425284,61522519,417459,113659,243324,425918,0,0
1.018777787,0,vgg16,0,0,427697,113402,243898,421999,187,212
1.028939794,34399974,vgg16,419540,60805489,493878,0,243991,421262,174,429
1.039107807,34436037,vgg16,417617,60821455,442374,118005,243364,0,0,422
1.049273443,0,vgg16,411220,61023246,442550,123425,241184,404347,269,0
1.059443095,34445509,vgg16,0,0,0,114500,243287,417774,196,229
1.069574016,34306812,vgg16,416330,60828713,434688,111034,0,452549,248,271
1.079717046,34372929,vgg16,417504,60554724,430156,109592,242672,419738,0,0
1.08988054,0,vgg16,0,60211627,435399,108677,243502,422544,193,217
1.100038367,34419674,vgg16,422949,61954907,0,0,243922,423984,192,205
1.110192411,34396153,vgg16,422625,61790235,427581,107329,242950,0,635,204
1.120327894,0,vgg16,440484,61633814,435072,109731,242930,423746,377,0
1.130469271,34351256,vgg16,0,0,0,108370,243233,422429,182,204
1.140617838,34242458,vgg16,410431,59909310,411069,113197,0,435053,183,196
1.150764674,34414406,vgg16,411148,60185576,406835,104359,243174,418847,0,0
1.16090969,0,vgg16,0,60181199,404271,103481,243142,413716,160,254
1.171060191,34389652,vgg16,417770,60005906,0,0,243640,410177,169,201
1.181213992,34403526,vgg16,411739,60220111,406292,102600,242806,0,173,192
1.191361896,0,vgg16,415481,60152097,409403,103660,243286,412105,0,0
1.201507731,34327757,vgg16,0,0,447042,103054,243281,413239,233,229
1.211655113,34389791,vgg16,409041,60111193,409692,0,0,413062,179,202
1.221818595,34434632,vgg16,416880,60219092,412968,102336,243538,399912,0,245
1.231964274,0,vgg16,0,59889801,425961,103420,243270,414410,181,0
1.242101142,34170810,vgg16,418472,61622574,0,143920,243120,414852,173,202
1.252215554,34270978,vgg16,422854,61583896,441046,107023,231733,0,186,203
1.262368344,0,vgg16,425498,61847633,438446,108829,243422,424241,0,0
1.272509004,34058727,vgg16,0,0,413135,109522,243127,422683,175,209
1.282654592,34384425,vgg16,423018,61778197,429224,0,0,421596,158,229
1.292809351,34409664,vgg16,419854,60902158,418215,105034,241679,400129,0,201
1.302916455,0,vgg16,0,59909549,402437,102270,241226,408933,180,0
1.313068759,34379680,vgg16,426536,61492481,0,121335,243448,427084,193,206
1.323213878,34380414,vgg16,422669,61854758,422749,106433,0,0,176,203
1.3333561,34394522,vgg16,428011,61802442,430569,108604,243025,425560,0,0
1.343495882,0,vgg16,0,0,419510,107324,243138,422283,184,215
1.353644157,34230918,vgg16,420337,61248837,433063,0,243563,426756,169,207
1.36379034,34390322,vgg16,409027,59749778,410392,104142,240856,0,0,197
1.373941416,0,vgg16,440083,61760804,434709,109667,243200,426368,199,0
1.384085046,34373238,vgg16,0,0,0,105284,243242,422781,156,217
1.394232215,34372915,vgg16,423646,61826922,440534,108167,0,221885,163,203
1.40436886,34377036,vgg16,424548,61774139,439260,108928,242833,429014,0,0
1.414514946,0,vgg16,0,0,424984,107321,242454,417994,193,202
1.424657828,34357653,vgg16,413253,59940317,438030,0,243465,414763,177,206
1.434808097,34406923,vgg16,413125,60174088,413435,103409,243235,0,0,196
1.444951764,0,vgg16,415209,60124830,413893,101906,243119,409813,230,0
