time,cycles,branches,instructions,cache-reference,cache-misses,bus-cycles
0.010329919,23149797,1114440,6362278,492797,350333,247026
0.020901953,22396307,1271662,6427617,379806,325826,247561
0.031082285,22282197,976692,5755883,440961,300690,243159
0.04140444,21635520,886993,5843011,451067,346485,245341
0.051676654,23291851,1358250,7459260,717325,441337,244853
0.06195338,23399476,2266661,8518071,1091598,805166,245248
0.072224543,23369596,2539701,8547024,983814,642963,245135
0.082610105,23641957,2146603,7737011,927020,707917,247050
0.092902969,22668225,2392082,7913485,767522,634906,245207
0.103206706,20971554,3273820,11149794,1074788,998385,243454
0.113441178,20312478,3363177,11079914,1022395,834495,244268
0.12372063,20031084,3215057,11212030,1215037,821484,245250
0.133970333,19285770,3435905,7051482,855924,733117,243223
0.144174606,19277117,627634,1905104,743083,676282,243304
0.154369229,19272898,605627,2005757,698003,649674,243327
0.164531723,18625458,235131,1566918,992054,829735,242703
0.174726038,19675010,1361474,6418714,707912,267116,248347
0.185054722,19236048,2403371,11975813,859353,371339,244559
0.195234422,23626862,2309763,11956884,1072208,428432,281692
0.205513181,21128348,907318,5188496,760277,321130,244509
0.215794728,22293709,1473707,6985968,1169872,373710,245569
0.226086893,23013557,2079102,8694248,1088197,327402,246233
0.236578391,25184916,1703555,8840731,1078488,451129,263435
0.246951871,21472381,1451160,6805670,982258,412939,227116
0.257511155,22269689,1592338,7422170,732437,296071,251845
0.267933405,23663862,1965086,12976734,1236794,432676,275354
0.278327339,21668059,919538,4268170,476211,252602,250657
0.288742298,29673034,2844750,23060822,1911457,384550,315262
0.299415553,33052765,3414631,34094996,1408922,380495,347064
0.309655606,24752887,1684269,8275263,1285059,428854,248443
0.319893507,33111732,2394543,26274880,599830,347507,338440
0.330200019,44762954,2966063,29366922,1398927,490142,442519
0.34091925,54565408,4536932,49196026,1745590,577978,545419
0.351146789,24396191,2140805,7860119,1287562,345919,244798
0.36137754,55054188,5170925,68016216,1279990,354143,561367
0.371668448,55553410,3377835,25372648,1549466,674791,546706
0.381954879,24487794,2093328,7977402,1236116,272331,245254
0.392210954,4242036,7072520,36824127,904966,460856,1056111
0.402764775,76313595,4500287,25054971,1810511,915602,752138
0.41293753,81157449,7390350,15279469,1515942,383305,825131
0.423151152,82676806,5027339,54157777,2311580,1039440,819343
0.433387187,24248969,2320328,10702172,1371773,400751,243703
0.443657069,9500151,8133915,44439955,1343892,610880,1116729
0.454057434,68293128,3831885,23623244,2112956,924554,668309
0.464381805,89008558,6883552,51935691,1274767,496913,894479
0.474699355,77344860,4581570,25346808,1859515,1115323,773615
0.484921528,82075560,7346798,13891454,1093755,269821,837714
0.495265038,82512732,4799467,46787541,1871567,935820,812824
0.505552671,24483901,2398914,11901185,1522523,411259,244771
0.515768617,25679701,1992013,12325237,1217221,488408,263901
0.526142439,49282254,11834710,51816728,777507,400143,1493557
0.536416764,42666959,11202738,40877494,879170,373784,1370254
0.548448914,35557336,10245200,18812225,1067333,366100,1194946
0.558711379,51688183,11387267,46900351,811341,404117,1263175
0.569054177,80181450,12796100,79615350,930138,464281,1464744
0.579323229,89778061,14060929,86064737,893159,478851,1520409
0.589594825,660504,14479141,11832847,921417,511823,1546405
0.599941321,14995860,15024141,23385223,922182,518543,1660171
0.610197401,86646891,13904421,1236534,847107,471725,1426559
0.620415428,10816289,14218078,3573137,849268,490696,1620525
0.630704676,35200417,18015324,87632611,1061568,564388,1798793
0.640931837,38963596,18183401,92233161,1084808,561532,1834613
0.651144944,30704094,17674238,79974244,1029921,539179,1774384
0.66136381,31989218,17872738,85055296,1081687,549639,1791612
0.671589541,27951190,16186961,51267434,917134,524854,1772035
0.681781645,42940703,18804258,5527525,1103589,570929,1873420
0.691958049,15495543,16431610,51000970,1022302,509137,1652290
0.702209433,69821512,13726246,90158178,898951,444994,1351145
0.712479802,88104121,8658608,85641558,572687,250028,661374
0.722880071,26759218,6537393,66781233,2037757,1376930,980968
0.733272687,84293777,6830385,42358905,3000955,2059520,1550214
0.744172408,66448961,6645893,41076350,2706332,1893102,1563596
0.757732987,84765352,8321012,52778776,4084075,2500426,1814040
0.768322521,62046737,8283916,51406504,3734066,2265043,1625516
0.778910011,57633774,6712972,43079398,2993547,1922186,1580615
0.78934212,46590445,7164414,44524389,3242052,1998521,1469701
0.803837904,66438973,7885083,49416527,3372013,2182792,1661946
0.818109061,55073561,2660526,17105565,1206407,788073,544309
0.828447311,53170158,3407651,21097101,1647422,965820,534503
0.838675648,57654513,5079633,30370044,1740442,1117056,578648
0.848952898,61534919,4065822,23606653,1225236,836722,613484
0.859276474,69867982,5612640,33324308,2170257,1138867,703781
0.869617664,57470875,5450782,31561687,2071254,744486,583524
0.88033919,74620148,6799813,36740806,2317632,949764,753397
0.890587851,79496116,4615110,28229035,1808723,955431,795612
0.900812394,17936546,2039215,11363287,763264,177669,176449
0.911101355,12387655,674523,3819010,294035,167678,131293
0.921733909,85078762,5975231,32657010,1460324,881095,847197
0.932506477,97795128,6674565,38339974,2146570,1120292,978961
0.942722493,1854688,180340,1208438,57780,14372,13953
0.952906078,0,0,0,0,0,0
0.963056602,0,0,0,0,0,0
0.973196416,0,0,0,0,0,0
0.983333848,0,0,0,0,0,0
0.993532829,20414849,2204263,13499928,967974,494418,547353
1.003816483,3230575,346678,2065316,208199,63070,86823
1.014122964,5830377,405756,3863109,256449,124502,157329
1.024616066,16898101,1558924,8779726,661279,330601,463817
1.035655846,19127187,1643747,10145425,770844,409823,500132
1.046226981,29141010,3011086,18149208,1046544,454051,776943
1.057096535,26246192,2958943,16912191,1098738,437423,706512
1.067500129,162967,0,107418,8675,1799,4356
1.077821029,8265995,1086697,6128847,381205,200066,222177
1.088164045,10022971,1206769,6727239,378677,247024,238132
1.09841293,25595591,2688286,16643868,1058008,587579,416166
1.108665553,24105893,2217519,13455012,899881,499480,337208
1.118889631,0,0,0,0,0,0
1.129046295,0,0,0,0,0,0
1.139249915,0,0,0,0,0,0
1.149461686,0,0,0,0,0,0
1.159689822,0,0,0,0,0,0
1.16993227,0,0,0,0,0,0
1.180189719,0,0,0,0,0,0
1.190410405,0,0,0,0,0,0
1.200626985,0,0,0,0,0,0
1.210819221,0,0,0,0,0,0
1.22100227,0,0,0,0,0,0
1.23124686,0,0,0,0,0,0
1.241463384,0,0,0,0,0,0
1.251683014,588175,81969,426861,49172,21317,12940
1.262018408,0,0,0,0,0,0
1.27224931,0,0,0,0,0,0
1.282475886,1198505,127111,792221,78900,14413,33254
1.292851275,5087791,601487,3585993,190786,150844,137727
1.303159338,9219400,1064353,6362504,388593,265225,246031
1.313507551,9236350,996577,6127030,394550,268597,246621
1.323843354,9188197,1112453,6765471,384260,262944,245171
1.334487532,9505982,1046353,6389661,401197,280597,254111
1.344810347,9218114,1120764,6892381,380394,274036,246347
1.355170498,9255614,1251185,7560680,374643,269575,247158
1.365475961,7688755,1175782,6918098,231293,224418,203981
1.375831671,347373,17685,93375,26027,2852,9301
1.386289654,74778,4855,24243,6649,587,2732
1.396590306,0,0,0,0,0,0
1.406830575,0,0,0,0,0,0
1.417035805,0,0,0,0,0,0
1.42726298,1175794,191539,901988,85290,31304,37517
1.43764426,22028028,2491770,14101670,923627,379354,591329
1.448093992,6986248,816726,4881257,361485,114286,181012
1.458442241,7988592,889308,4798216,337805,183113,211725
1.468738343,0,0,0,0,0,0
1.478959307,0,0,0,0,0,0
1.489203109,0,0,0,0,0,0
1.499444172,0,0,0,0,0,0
1.509653365,0,0,0,0,0,0
1.519904855,0,0,0,0,0,0
1.53009871,0,0,0,0,0,0
1.540315891,0,0,0,0,0,0
1.550518086,0,0,0,0,0,0
1.560816294,2048418,207722,1215116,109630,43018,56770
1.571181929,9265857,1071765,6730229,375316,238003,248646
1.581607798,34603038,3009295,18832529,1469480,828513,937509
1.592057747,31894813,2787719,17384353,1322230,771921,844219
1.602383843,11201628,1128671,7226648,467834,292854,292709
1.612650106,0,0,0,0,0,0
1.622853618,0,0,0,0,0,0
1.633042489,0,0,0,0,0,0
1.643182449,0,0,0,0,0,0
1.653328671,0,0,0,0,0,0
1.664004023,28838001,1916846,11682038,900412,423164,235107
1.674247857,30508521,4992466,33844269,814590,454984,243702
1.684553623,29452999,7306311,49090428,515050,331259,241334
1.695071082,28640655,8483571,52839346,553564,370799,242501
1.705295227,26856736,4682650,32231684,512465,372334,239529
1.715534504,26821234,4718937,28198375,696982,428086,240705
1.725809274,24127490,1585205,7465617,1277945,434686,237004
1.74417084,45624160,11219204,14123915,1544490,734837,1459776
1.75440122,16757721,9095371,96204809,710609,301334,1142322
1.765482665,56322643,11196602,43525285,731181,395767,1365288
1.775682599,59492662,12397320,69085278,880353,410807,1304424
1.786145653,9737103,6158574,63856805,2381384,1329664,896323
1.796964996,2104606,5119819,32458118,2353822,1452017,816534
1.807266906,60678247,2413261,17015623,1558166,983093,645701
1.819195631,19779968,5978282,37442535,2682004,1688369,1131632
1.829770686,32372176,4602277,31294137,855021,553660,295709
1.840038085,24244471,2188250,12098775,1096704,487498,243561
1.850458695,31671214,10102640,19046234,1347576,515855,1326388
1.860720463,95632022,5787313,56080505,2214863,1284663,953232
1.871011244,32852603,3366931,16292262,1448321,657771,319657
1.881232923,17639074,2242944,15509787,820964,301467,166222
1.891439043,0,0,0,0,0,0
1.901614201,3932340,77209,4770568,104865,56067,41252
1.911872438,5141354,0,6224225,123697,59540,49943
1.922085927,5602349,0,6412565,129676,58469,57141
1.932320511,6309078,0,5827713,151412,62082,62252
1.942577347,5840472,0,0,123456,71223,58540
1.952723491,3453644,108086,5511678,91407,23682,34616
1.962901564,5184360,123206,6859830,0,59048,51965
1.973164579,7556916,126840,6879034,118537,90641,75745
1.983476102,5152881,125595,6874520,123765,0,51647
1.993726057,5227364,107268,6699395,127922,65311,52614
2.003957621,0,115910,5656257,112316,61636,45329
2.014142999,0,123397,6863232,126733,61432,49592
2.02437795,0,147773,8230812,165404,69955,61753
2.034612246,0,0,0,0,0,0
2.044764678,2690268,48166,4124995,85119,28054,26690
2.055066856,0,0,0,0,0,0
2.065311478,0,0,0,0,0,0
2.075562532,6297201,131155,7918071,165806,76479,64451
2.08584138,7021745,180253,9628081,0,71297,69050
2.096035778,6008229,147654,8232417,0,68389,60222
2.106269959,5917506,149845,8243962,167270,81151,59314
2.116542355,6182460,147449,8230316,150899,74444,62854
2.126764269,6321601,149532,8246826,153893,75096,65091
2.136918719,7293008,0,10948366,233646,61250,73098
2.147089539,5930025,146485,7607394,166402,78004,60413
2.157323406,6490387,151698,8251985,0,81291,64080
2.16752647,6043602,153454,8261099,156003,56397,60579
